Visit_ID,Flower_ID,Visitor_Group,Hidden_Flower_Context,Hidden_Visit_Mode,Hidden_Visit_Mode_Label,Dwell_Time_s,Entry_Depth,Contact_Fit,Landing_Distance_From_Contact_Zone,Contact_Zone_Closeness,Recurrence_Score,Landing_X,Landing_Y,Capsule_Probability_Synthetic,Capsule_Outcome,Flower_Visitor
714,82,Ant,high_contact,deep_contact,deep contact visit,7.868,0.732,0.842,0.086,0.885,0.667,0.027,0.041,0.823,Capsule formed,Flower 82 :: Ant
715,89,Hoverfly,mixed,brief_visit,brief visit,2.052,0.04,0.153,0.148,0.802,0.647,-0.268,0.058,0.547,No capsule,Flower 89 :: Hoverfly
716,34,Small native bee,mixed,surface_wander,surface wandering visit,9.431,0.242,0.124,0.583,0.223,0.502,0.229,-0.63,0.44,Capsule formed,Flower 34 :: Small native bee
717,43,Small native bee,high_contact,surface_wander,surface wandering visit,3.273,0.108,0.0,0.621,0.172,0.577,-0.484,-0.337,0.859,Capsule formed,Flower 43 :: Small native bee
718,58,Ant,mixed,brief_visit,brief visit,1.729,0.105,0.136,0.142,0.811,0.616,-0.054,0.118,0.458,No capsule,Flower 58 :: Ant
719,82,Beetle,high_contact,shallow_entry,shallow entry visit,6.587,0.38,0.398,0.385,0.486,0.328,0.343,0.24,0.823,Capsule formed,Flower 82 :: Beetle
720,80,Small native bee,mixed,surface_wander,surface wandering visit,10.697,0.17,0.125,0.78,0.0,0.377,-0.343,-0.048,0.353,No capsule,Flower 80 :: Small native bee
721,80,Hoverfly,mixed,shallow_entry,shallow entry visit,6.08,0.57,0.567,0.271,0.639,0.486,-0.099,0.117,0.353,No capsule,Flower 80 :: Hoverfly
722,34,Bumblebee,mixed,brief_visit,brief visit,3.002,0.122,0.109,0.408,0.455,0.602,-0.056,0.298,0.44,Capsule formed,Flower 34 :: Bumblebee
723,67,Moth,high_contact,deep_contact,deep contact visit,12.735,0.808,0.919,0.098,0.869,0.603,0.037,0.114,0.825,Capsule formed,Flower 67 :: Moth
724,56,Small native bee,high_contact,brief_visit,brief visit,2.377,0.078,0.174,0.102,0.864,0.431,0.346,-0.125,0.75,No capsule,Flower 56 :: Small native bee
725,53,Ant,high_contact,deep_contact,deep contact visit,12.51,0.877,0.927,0.078,0.895,0.717,-0.1,0.062,0.9,Capsule formed,Flower 53 :: Ant
726,89,Ant,mixed,surface_wander,surface wandering visit,11.772,0.136,0.222,0.493,0.343,0.355,0.051,-0.83,0.547,No capsule,Flower 89 :: Ant
727,34,Bumblebee,mixed,shallow_entry,shallow entry visit,6.115,0.333,0.181,0.182,0.757,0.545,-0.039,0.155,0.44,Capsule formed,Flower 34 :: Bumblebee
728,58,Bumblebee,mixed,shallow_entry,shallow entry visit,7.429,0.404,0.523,0.251,0.665,0.663,-0.171,-0.495,0.458,No capsule,Flower 58 :: Bumblebee
729,63,Small native bee,mixed,surface_wander,surface wandering visit,6.688,0.294,0.154,0.652,0.131,0.551,0.278,-0.292,0.469,Capsule formed,Flower 63 :: Small native bee
730,43,Bumblebee,high_contact,shallow_entry,shallow entry visit,6.459,0.474,0.825,0.306,0.592,0.49,0.065,-0.195,0.859,Capsule formed,Flower 43 :: Bumblebee
731,11,Hoverfly,brief_heavy,brief_visit,brief visit,0.855,0.339,0.184,0.37,0.506,0.751,0.17,0.019,0.135,No capsule,Flower 11 :: Hoverfly
732,43,Hoverfly,high_contact,deep_contact,deep contact visit,13.382,0.853,0.845,0.174,0.768,0.762,0.055,0.117,0.859,Capsule formed,Flower 43 :: Hoverfly
733,77,Moth,high_contact,deep_contact,deep contact visit,10.766,0.723,0.814,0.105,0.86,0.641,0.07,-0.154,0.869,Capsule formed,Flower 77 :: Moth
734,57,Small native bee,mixed,brief_visit,brief visit,1.889,0.161,0.152,0.415,0.447,0.661,-0.007,0.311,0.423,No capsule,Flower 57 :: Small native bee
735,67,Bumblebee,high_contact,deep_contact,deep contact visit,14.145,0.803,0.91,0.037,0.951,0.605,0.198,-0.006,0.825,Capsule formed,Flower 67 :: Bumblebee
736,68,Beetle,high_contact,deep_contact,deep contact visit,11.706,0.736,0.859,0.03,0.959,0.448,0.103,0.103,0.799,Capsule formed,Flower 68 :: Beetle
737,19,Beetle,high_contact,deep_contact,deep contact visit,10.661,0.9,0.848,0.026,0.965,0.628,0.018,0.073,0.866,Capsule formed,Flower 19 :: Beetle
738,23,Bumblebee,mixed,surface_wander,surface wandering visit,4.138,0.099,0.333,0.721,0.038,0.509,0.628,-0.233,0.387,No capsule,Flower 23 :: Bumblebee
739,11,Hoverfly,brief_heavy,brief_visit,brief visit,1.903,0.211,0.025,0.378,0.496,0.624,0.37,-0.744,0.135,No capsule,Flower 11 :: Hoverfly
740,62,Hoverfly,mixed,shallow_entry,shallow entry visit,5.622,0.636,0.506,0.225,0.7,0.744,0.036,0.135,0.488,Capsule formed,Flower 62 :: Hoverfly
741,88,Beetle,surface_heavy,shallow_entry,shallow entry visit,7.906,0.156,0.599,0.255,0.661,0.212,-0.44,-0.295,0.146,No capsule,Flower 88 :: Beetle
742,81,Small native bee,high_contact,deep_contact,deep contact visit,10.646,0.751,0.831,0.092,0.878,0.658,-0.051,0.161,0.856,Capsule formed,Flower 81 :: Small native bee
743,56,Moth,high_contact,deep_contact,deep contact visit,14.057,0.829,0.811,0.141,0.812,0.711,0.039,0.191,0.75,No capsule,Flower 56 :: Moth
744,60,Bumblebee,mixed,deep_contact,deep contact visit,9.107,0.824,0.816,0.068,0.91,0.64,-0.006,0.128,0.481,No capsule,Flower 60 :: Bumblebee
745,23,Bumblebee,mixed,shallow_entry,shallow entry visit,2.965,0.449,0.485,0.298,0.602,0.541,0.144,-0.105,0.387,No capsule,Flower 23 :: Bumblebee
746,31,Beetle,high_contact,deep_contact,deep contact visit,13.793,0.791,0.943,0.063,0.916,0.532,-0.026,0.06,0.81,Capsule formed,Flower 31 :: Beetle
747,8,Bumblebee,high_contact,deep_contact,deep contact visit,10.939,0.98,0.779,0.059,0.921,0.628,-0.031,0.173,0.701,Capsule formed,Flower 8 :: Bumblebee
748,87,Hoverfly,mixed,brief_visit,brief visit,1.032,0.311,0.25,0.397,0.471,0.492,-0.47,-0.019,0.497,Capsule formed,Flower 87 :: Hoverfly
749,39,Moth,brief_heavy,brief_visit,brief visit,3.114,0.158,0.279,0.563,0.25,0.27,0.345,0.124,0.073,No capsule,Flower 39 :: Moth
750,58,Moth,mixed,deep_contact,deep contact visit,14.065,0.805,0.858,0.121,0.839,0.492,0.071,-0.104,0.458,No capsule,Flower 58 :: Moth
751,13,Hoverfly,mixed,shallow_entry,shallow entry visit,7.238,0.495,0.251,0.141,0.812,0.651,0.134,-0.386,0.452,No capsule,Flower 13 :: Hoverfly
752,22,Ant,high_contact,deep_contact,deep contact visit,12.903,0.858,0.822,0.016,0.978,0.741,-0.066,0.028,0.741,Capsule formed,Flower 22 :: Ant
753,65,Small native bee,brief_heavy,surface_wander,surface wandering visit,9.385,0.03,0.225,0.57,0.24,0.628,-0.377,-0.27,0.131,No capsule,Flower 65 :: Small native bee
754,77,Hoverfly,high_contact,shallow_entry,shallow entry visit,10.293,0.291,0.412,0.308,0.589,0.747,0.066,-0.053,0.869,Capsule formed,Flower 77 :: Hoverfly
755,82,Moth,high_contact,brief_visit,brief visit,1.735,0.24,0.133,0.342,0.544,0.345,-0.558,-0.138,0.823,Capsule formed,Flower 82 :: Moth
756,16,Ant,mixed,brief_visit,brief visit,1.467,0.09,0.275,0.229,0.695,0.657,0.349,-0.133,0.472,No capsule,Flower 16 :: Ant
757,48,Small native bee,brief_heavy,brief_visit,brief visit,0.955,0.219,0.169,0.503,0.329,0.557,-0.336,-0.431,0.059,No capsule,Flower 48 :: Small native bee
758,77,Moth,high_contact,deep_contact,deep contact visit,13.162,0.757,0.893,0.167,0.778,0.541,0.11,0.094,0.869,Capsule formed,Flower 77 :: Moth
759,68,Small native bee,high_contact,deep_contact,deep contact visit,13.214,0.825,0.941,0.066,0.912,0.806,0.211,0.105,0.799,Capsule formed,Flower 68 :: Small native bee
760,68,Ant,high_contact,deep_contact,deep contact visit,9.045,0.941,0.879,0.078,0.897,0.731,-0.195,0.063,0.799,Capsule formed,Flower 68 :: Ant
761,49,Bumblebee,surface_heavy,surface_wander,surface wandering visit,9.442,0.196,0.05,0.68,0.093,0.616,0.141,0.414,0.105,No capsule,Flower 49 :: Bumblebee
762,89,Hoverfly,mixed,shallow_entry,shallow entry visit,6.011,0.422,0.39,0.383,0.489,0.61,-0.087,-0.204,0.547,No capsule,Flower 89 :: Hoverfly
763,25,Beetle,mixed,brief_visit,brief visit,1.776,0.101,0.23,0.407,0.457,0.468,-0.07,-0.089,0.448,Capsule formed,Flower 25 :: Beetle
764,39,Bumblebee,brief_heavy,brief_visit,brief visit,1.591,0.232,0.095,0.587,0.217,0.49,0.307,-0.058,0.073,No capsule,Flower 39 :: Bumblebee
765,20,Ant,high_contact,brief_visit,brief visit,1.438,0.042,0.049,0.557,0.258,0.589,-0.623,-0.469,0.693,No capsule,Flower 20 :: Ant
766,45,Bumblebee,mixed,shallow_entry,shallow entry visit,7.133,0.394,0.685,0.212,0.717,0.705,0.295,-0.114,0.422,No capsule,Flower 45 :: Bumblebee
767,44,Ant,high_contact,deep_contact,deep contact visit,8.838,0.75,0.682,0.123,0.836,0.709,0.005,-0.072,0.778,Capsule formed,Flower 44 :: Ant
768,59,Hoverfly,brief_heavy,surface_wander,surface wandering visit,8.295,0.213,0.427,0.577,0.231,0.774,-0.461,-0.686,0.039,No capsule,Flower 59 :: Hoverfly
769,38,Beetle,mixed,shallow_entry,shallow entry visit,4.295,0.185,0.646,0.211,0.719,0.236,0.262,-0.151,0.453,No capsule,Flower 38 :: Beetle
770,60,Hoverfly,mixed,shallow_entry,shallow entry visit,6.321,0.491,0.52,0.26,0.653,0.773,0.234,0.016,0.481,No capsule,Flower 60 :: Hoverfly
771,73,Small native bee,mixed,shallow_entry,shallow entry visit,5.776,0.37,0.586,0.113,0.849,0.724,0.096,0.037,0.509,Capsule formed,Flower 73 :: Small native bee
772,80,Bumblebee,mixed,shallow_entry,shallow entry visit,6.303,0.501,0.394,0.029,0.962,0.466,0.469,-0.217,0.353,No capsule,Flower 80 :: Bumblebee
773,20,Small native bee,high_contact,deep_contact,deep contact visit,13.113,0.774,0.971,0.094,0.874,0.677,-0.004,0.139,0.693,No capsule,Flower 20 :: Small native bee
774,16,Small native bee,mixed,brief_visit,brief visit,1.441,0.256,0.199,0.185,0.753,0.526,0.003,-0.387,0.472,No capsule,Flower 16 :: Small native bee
775,54,Small native bee,surface_heavy,shallow_entry,shallow entry visit,5.577,0.409,0.372,0.285,0.619,0.496,0.578,-0.274,0.1,No capsule,Flower 54 :: Small native bee
776,76,Hoverfly,mixed,surface_wander,surface wandering visit,4.7,0.198,0.225,0.637,0.151,0.788,0.133,-0.331,0.379,Capsule formed,Flower 76 :: Hoverfly
777,2,Ant,surface_heavy,surface_wander,surface wandering visit,6.015,0.143,0.031,0.649,0.135,0.366,-0.177,-0.556,0.136,Capsule formed,Flower 2 :: Ant
778,41,Ant,mixed,surface_wander,surface wandering visit,10.873,0.3,0.123,0.835,0.0,0.394,-0.004,-0.343,0.451,Capsule formed,Flower 41 :: Ant
779,27,Beetle,surface_heavy,surface_wander,surface wandering visit,10.288,0.179,0.213,0.67,0.107,0.356,-0.513,-0.391,0.314,No capsule,Flower 27 :: Beetle
780,16,Ant,mixed,shallow_entry,shallow entry visit,6.198,0.617,0.358,0.284,0.621,0.726,-0.272,-0.114,0.472,No capsule,Flower 16 :: Ant
781,87,Ant,mixed,shallow_entry,shallow entry visit,7.682,0.54,0.469,0.367,0.511,0.672,0.2,-0.077,0.497,Capsule formed,Flower 87 :: Ant
782,11,Beetle,brief_heavy,brief_visit,brief visit,3.041,0.318,0.127,0.21,0.72,0.493,0.196,0.038,0.135,No capsule,Flower 11 :: Beetle
783,87,Hoverfly,mixed,brief_visit,brief visit,2.376,0.318,0.29,0.576,0.232,0.494,0.071,0.69,0.497,Capsule formed,Flower 87 :: Hoverfly
784,68,Small native bee,high_contact,deep_contact,deep contact visit,13.096,1.0,0.809,0.036,0.953,0.738,-0.088,0.062,0.799,Capsule formed,Flower 68 :: Small native bee
785,51,Bumblebee,surface_heavy,shallow_entry,shallow entry visit,6.523,0.372,0.578,0.713,0.05,0.689,0.118,-0.254,0.173,No capsule,Flower 51 :: Bumblebee
786,40,Hoverfly,high_contact,deep_contact,deep contact visit,11.766,0.982,0.947,0.081,0.892,0.703,0.14,0.076,0.832,Capsule formed,Flower 40 :: Hoverfly
787,9,Beetle,high_contact,shallow_entry,shallow entry visit,1.333,0.321,0.406,0.351,0.532,0.348,-0.05,0.111,0.819,No capsule,Flower 9 :: Beetle
788,56,Ant,high_contact,surface_wander,surface wandering visit,4.619,0.228,0.225,0.737,0.018,0.506,-0.451,0.195,0.75,No capsule,Flower 56 :: Ant
789,17,Beetle,high_contact,deep_contact,deep contact visit,13.606,0.785,0.803,0.078,0.895,0.376,-0.067,0.138,0.813,Capsule formed,Flower 17 :: Beetle
790,65,Moth,brief_heavy,shallow_entry,shallow entry visit,6.518,0.601,0.494,0.386,0.485,0.508,0.276,-0.252,0.131,No capsule,Flower 65 :: Moth
791,53,Hoverfly,high_contact,deep_contact,deep contact visit,12.732,0.891,0.887,0.08,0.893,0.741,0.119,0.111,0.9,Capsule formed,Flower 53 :: Hoverfly
792,75,Hoverfly,surface_heavy,shallow_entry,shallow entry visit,5.764,0.396,0.345,0.444,0.408,0.604,0.227,0.374,0.048,No capsule,Flower 75 :: Hoverfly
793,9,Beetle,high_contact,deep_contact,deep contact visit,8.94,0.807,0.812,0.05,0.933,0.454,0.011,0.124,0.819,No capsule,Flower 9 :: Beetle
794,68,Moth,high_contact,deep_contact,deep contact visit,11.389,0.987,0.876,0.001,0.998,0.573,0.069,0.069,0.799,Capsule formed,Flower 68 :: Moth
795,89,Hoverfly,mixed,shallow_entry,shallow entry visit,6.889,0.444,0.498,0.458,0.39,0.776,-0.001,0.179,0.547,No capsule,Flower 89 :: Hoverfly
796,56,Beetle,high_contact,brief_visit,brief visit,1.125,0.185,0.189,0.045,0.939,0.4,-0.295,0.381,0.75,No capsule,Flower 56 :: Beetle
797,14,Beetle,surface_heavy,brief_visit,brief visit,1.213,0.307,0.16,0.387,0.484,0.411,-0.362,-0.544,0.151,No capsule,Flower 14 :: Beetle
798,87,Moth,mixed,shallow_entry,shallow entry visit,7.206,0.483,0.257,0.202,0.731,0.37,0.42,0.143,0.497,Capsule formed,Flower 87 :: Moth
799,74,Small native bee,high_contact,brief_visit,brief visit,1.396,0.19,0.196,0.399,0.469,0.53,0.028,-0.139,0.877,Capsule formed,Flower 74 :: Small native bee
800,40,Beetle,high_contact,surface_wander,surface wandering visit,9.027,0.178,0.082,0.41,0.453,0.368,0.207,-0.156,0.832,Capsule formed,Flower 40 :: Beetle
801,42,Beetle,surface_heavy,shallow_entry,shallow entry visit,4.002,0.284,0.59,0.291,0.613,0.333,0.07,-0.115,0.123,No capsule,Flower 42 :: Beetle
802,87,Moth,mixed,shallow_entry,shallow entry visit,6.733,0.331,0.445,0.3,0.6,0.305,0.145,-0.028,0.497,Capsule formed,Flower 87 :: Moth
803,37,Hoverfly,brief_heavy,brief_visit,brief visit,2.903,0.062,0.133,0.567,0.244,0.718,0.165,0.911,0.087,No capsule,Flower 37 :: Hoverfly
804,74,Hoverfly,high_contact,deep_contact,deep contact visit,9.715,0.815,0.91,0.112,0.85,0.832,0.001,0.046,0.877,Capsule formed,Flower 74 :: Hoverfly
805,87,Bumblebee,mixed,surface_wander,surface wandering visit,5.484,0.229,0.135,0.66,0.12,0.517,0.234,-0.321,0.497,Capsule formed,Flower 87 :: Bumblebee
806,12,Ant,high_contact,deep_contact,deep contact visit,11.647,0.819,0.824,0.066,0.912,0.819,-0.034,0.131,0.726,No capsule,Flower 12 :: Ant
807,58,Small native bee,mixed,brief_visit,brief visit,0.84,0.243,0.119,0.422,0.438,0.345,0.044,0.254,0.458,No capsule,Flower 58 :: Small native bee
808,87,Bumblebee,mixed,shallow_entry,shallow entry visit,6.563,0.128,0.682,0.328,0.562,0.69,0.074,-0.354,0.497,Capsule formed,Flower 87 :: Bumblebee
809,78,Beetle,brief_heavy,brief_visit,brief visit,1.723,0.158,0.179,0.25,0.667,0.444,-0.428,0.728,0.058,No capsule,Flower 78 :: Beetle
810,9,Ant,high_contact,deep_contact,deep contact visit,11.622,0.933,0.853,0.005,0.994,0.85,0.122,0.077,0.819,No capsule,Flower 9 :: Ant
811,69,Hoverfly,surface_heavy,surface_wander,surface wandering visit,10.363,0.016,0.229,0.437,0.418,0.469,-0.151,-0.297,0.167,Capsule formed,Flower 69 :: Hoverfly
812,65,Beetle,brief_heavy,surface_wander,surface wandering visit,2.031,0.0,0.38,0.934,0.0,0.331,-0.459,-0.287,0.131,No capsule,Flower 65 :: Beetle
813,45,Beetle,mixed,surface_wander,surface wandering visit,7.968,0.109,0.147,0.63,0.16,0.203,-0.089,-0.337,0.422,No capsule,Flower 45 :: Beetle
814,23,Hoverfly,mixed,deep_contact,deep contact visit,13.732,0.697,0.827,0.092,0.878,0.954,-0.156,0.071,0.387,No capsule,Flower 23 :: Hoverfly
815,43,Hoverfly,high_contact,deep_contact,deep contact visit,12.497,0.855,0.97,0.115,0.847,0.906,-0.012,0.013,0.859,Capsule formed,Flower 43 :: Hoverfly
816,62,Small native bee,mixed,shallow_entry,shallow entry visit,5.005,0.339,0.485,0.144,0.808,0.637,0.014,0.189,0.488,Capsule formed,Flower 62 :: Small native bee
817,69,Small native bee,surface_heavy,shallow_entry,shallow entry visit,6.023,0.509,0.434,0.087,0.884,0.661,0.084,0.122,0.167,Capsule formed,Flower 69 :: Small native bee
818,65,Bumblebee,brief_heavy,brief_visit,brief visit,2.392,0.15,0.235,0.381,0.492,0.683,0.152,0.024,0.131,No capsule,Flower 65 :: Bumblebee
819,82,Small native bee,high_contact,shallow_entry,shallow entry visit,5.602,0.484,0.426,0.284,0.622,0.732,0.316,-0.006,0.823,Capsule formed,Flower 82 :: Small native bee
820,38,Hoverfly,mixed,deep_contact,deep contact visit,12.45,0.908,0.912,0.029,0.961,0.878,0.012,-0.009,0.453,No capsule,Flower 38 :: Hoverfly
821,22,Hoverfly,high_contact,deep_contact,deep contact visit,13.288,0.901,0.958,0.13,0.827,0.694,0.201,0.176,0.741,Capsule formed,Flower 22 :: Hoverfly
822,48,Hoverfly,brief_heavy,brief_visit,brief visit,1.691,0.213,0.219,0.295,0.606,0.526,0.139,-0.272,0.059,No capsule,Flower 48 :: Hoverfly
823,65,Hoverfly,brief_heavy,brief_visit,brief visit,2.436,0.241,0.097,0.163,0.783,0.662,0.202,0.066,0.131,No capsule,Flower 65 :: Hoverfly
824,64,Beetle,surface_heavy,surface_wander,surface wandering visit,8.513,0.013,0.22,0.927,0.0,0.166,-0.211,-0.266,0.138,No capsule,Flower 64 :: Beetle
825,22,Bumblebee,high_contact,shallow_entry,shallow entry visit,5.853,0.573,0.405,0.231,0.691,0.553,-0.227,0.03,0.741,Capsule formed,Flower 22 :: Bumblebee
826,34,Bumblebee,mixed,deep_contact,deep contact visit,10.933,0.82,0.929,0.2,0.733,0.819,0.092,0.083,0.44,Capsule formed,Flower 34 :: Bumblebee
827,3,Bumblebee,high_contact,deep_contact,deep contact visit,9.434,0.844,0.84,0.009,0.988,0.697,-0.009,-0.026,0.873,Capsule formed,Flower 3 :: Bumblebee
828,5,Hoverfly,high_contact,deep_contact,deep contact visit,13.746,0.688,0.721,0.09,0.88,0.808,0.056,0.031,0.859,Capsule formed,Flower 5 :: Hoverfly
829,34,Bumblebee,mixed,shallow_entry,shallow entry visit,8.492,0.381,0.413,0.542,0.277,0.601,0.2,0.096,0.44,Capsule formed,Flower 34 :: Bumblebee
830,32,Beetle,brief_heavy,brief_visit,brief visit,1.975,0.122,0.186,0.866,0.0,0.485,0.559,0.478,0.059,No capsule,Flower 32 :: Beetle
831,73,Hoverfly,mixed,surface_wander,surface wandering visit,6.073,0.116,0.418,0.596,0.205,0.859,-0.61,-0.379,0.509,Capsule formed,Flower 73 :: Hoverfly
832,15,Hoverfly,brief_heavy,shallow_entry,shallow entry visit,5.066,0.53,0.403,0.216,0.712,0.821,0.299,-0.101,0.159,No capsule,Flower 15 :: Hoverfly
833,7,Bumblebee,surface_heavy,brief_visit,brief visit,1.993,0.183,0.083,0.262,0.65,0.432,0.164,-0.788,0.17,No capsule,Flower 7 :: Bumblebee
834,19,Hoverfly,high_contact,deep_contact,deep contact visit,8.014,0.843,0.975,0.182,0.757,0.656,0.047,-0.009,0.866,Capsule formed,Flower 19 :: Hoverfly
835,78,Moth,brief_heavy,brief_visit,brief visit,2.35,0.108,0.216,0.074,0.902,0.31,-0.297,-0.052,0.058,No capsule,Flower 78 :: Moth
836,39,Bumblebee,brief_heavy,surface_wander,surface wandering visit,8.056,0.209,0.215,0.532,0.291,0.588,0.02,-0.361,0.073,No capsule,Flower 39 :: Bumblebee
837,81,Moth,high_contact,brief_visit,brief visit,3.254,0.046,0.132,0.211,0.719,0.663,-0.181,-0.26,0.856,Capsule formed,Flower 81 :: Moth
838,82,Small native bee,high_contact,deep_contact,deep contact visit,11.521,0.558,0.864,0.091,0.879,0.723,0.138,0.063,0.823,Capsule formed,Flower 82 :: Small native bee
839,87,Bumblebee,mixed,shallow_entry,shallow entry visit,4.67,0.278,0.396,0.424,0.435,0.638,0.369,-0.155,0.497,Capsule formed,Flower 87 :: Bumblebee
840,67,Bumblebee,high_contact,deep_contact,deep contact visit,12.255,0.893,0.878,0.049,0.934,0.77,0.176,0.027,0.825,Capsule formed,Flower 67 :: Bumblebee
841,89,Small native bee,mixed,deep_contact,deep contact visit,11.525,0.884,0.828,0.075,0.9,0.632,0.152,0.083,0.547,No capsule,Flower 89 :: Small native bee
842,16,Bumblebee,mixed,shallow_entry,shallow entry visit,3.667,0.233,0.503,0.345,0.54,0.583,0.153,0.014,0.472,No capsule,Flower 16 :: Bumblebee
843,62,Hoverfly,mixed,brief_visit,brief visit,1.829,0.156,0.201,0.33,0.56,0.664,0.27,-0.051,0.488,Capsule formed,Flower 62 :: Hoverfly
844,68,Ant,high_contact,deep_contact,deep contact visit,11.384,0.612,0.837,0.016,0.979,0.748,0.034,0.143,0.799,Capsule formed,Flower 68 :: Ant
845,68,Beetle,high_contact,deep_contact,deep contact visit,12.288,0.735,0.821,0.069,0.907,0.527,-0.065,0.053,0.799,Capsule formed,Flower 68 :: Beetle
846,82,Beetle,high_contact,deep_contact,deep contact visit,13.147,0.933,0.837,0.156,0.792,0.371,-0.105,-0.029,0.823,Capsule formed,Flower 82 :: Beetle
847,50,Hoverfly,mixed,shallow_entry,shallow entry visit,4.842,0.394,0.494,0.217,0.71,0.667,-0.142,-0.123,0.427,No capsule,Flower 50 :: Hoverfly
848,69,Bumblebee,surface_heavy,surface_wander,surface wandering visit,11.09,0.107,0.342,0.819,0.0,0.547,-0.655,0.464,0.167,Capsule formed,Flower 69 :: Bumblebee
849,24,Bumblebee,surface_heavy,brief_visit,brief visit,2.427,0.311,0.107,0.49,0.347,0.418,0.24,-0.088,0.118,No capsule,Flower 24 :: Bumblebee
850,6,Beetle,high_contact,surface_wander,surface wandering visit,5.829,0.231,0.349,0.485,0.353,0.386,-0.095,-0.198,0.791,Capsule formed,Flower 6 :: Beetle
851,31,Ant,high_contact,deep_contact,deep contact visit,7.308,0.953,0.886,0.088,0.882,0.555,-0.144,0.08,0.81,Capsule formed,Flower 31 :: Ant
852,68,Hoverfly,high_contact,deep_contact,deep contact visit,10.792,0.844,0.945,0.071,0.905,0.745,0.148,0.084,0.799,Capsule formed,Flower 68 :: Hoverfly
853,80,Bumblebee,mixed,shallow_entry,shallow entry visit,6.193,0.472,0.437,0.214,0.714,0.62,0.02,0.153,0.353,No capsule,Flower 80 :: Bumblebee
854,62,Moth,mixed,shallow_entry,shallow entry visit,2.592,0.494,0.27,0.303,0.596,0.474,0.088,0.059,0.488,Capsule formed,Flower 62 :: Moth
855,11,Small native bee,brief_heavy,brief_visit,brief visit,2.219,0.344,0.295,0.12,0.84,0.458,-0.564,0.467,0.135,No capsule,Flower 11 :: Small native bee
856,48,Bumblebee,brief_heavy,deep_contact,deep contact visit,14.699,0.937,0.941,0.115,0.847,0.672,0.089,0.153,0.059,No capsule,Flower 48 :: Bumblebee
857,82,Small native bee,high_contact,brief_visit,brief visit,3.148,0.105,0.139,0.497,0.337,0.558,-0.188,0.598,0.823,Capsule formed,Flower 82 :: Small native bee
858,83,Hoverfly,high_contact,shallow_entry,shallow entry visit,4.892,0.409,0.257,0.251,0.665,0.571,0.235,0.056,0.818,No capsule,Flower 83 :: Hoverfly
859,39,Moth,brief_heavy,brief_visit,brief visit,1.048,0.2,0.216,0.028,0.963,0.482,-0.603,-0.122,0.073,No capsule,Flower 39 :: Moth
860,34,Hoverfly,mixed,shallow_entry,shallow entry visit,2.73,0.436,0.366,0.104,0.861,0.773,-0.258,-0.207,0.44,Capsule formed,Flower 34 :: Hoverfly
861,84,Beetle,high_contact,surface_wander,surface wandering visit,10.757,0.146,0.0,0.646,0.138,0.496,-0.312,-0.316,0.817,Capsule formed,Flower 84 :: Beetle
862,73,Bumblebee,mixed,shallow_entry,shallow entry visit,3.634,0.533,0.364,0.14,0.813,0.773,0.183,-0.089,0.509,Capsule formed,Flower 73 :: Bumblebee
863,65,Beetle,brief_heavy,surface_wander,surface wandering visit,11.493,0.24,0.148,0.493,0.343,0.494,0.204,-0.744,0.131,No capsule,Flower 65 :: Beetle
864,16,Bumblebee,mixed,deep_contact,deep contact visit,12.35,0.732,0.827,0.046,0.939,0.66,0.014,-0.011,0.472,No capsule,Flower 16 :: Bumblebee
865,18,Hoverfly,high_contact,deep_contact,deep contact visit,11.464,0.796,0.983,0.058,0.922,0.786,0.085,-0.031,0.783,No capsule,Flower 18 :: Hoverfly
866,68,Beetle,high_contact,deep_contact,deep contact visit,13.669,0.944,0.852,0.043,0.943,0.649,-0.117,-0.048,0.799,Capsule formed,Flower 68 :: Beetle
867,42,Moth,surface_heavy,shallow_entry,shallow entry visit,7.499,0.181,0.355,0.064,0.915,0.538,-0.179,-0.25,0.123,No capsule,Flower 42 :: Moth
868,80,Ant,mixed,shallow_entry,shallow entry visit,6.726,0.485,0.392,0.15,0.801,0.706,0.21,0.141,0.353,No capsule,Flower 80 :: Ant
869,2,Beetle,surface_heavy,surface_wander,surface wandering visit,7.997,0.117,0.171,0.463,0.383,0.427,-0.631,-0.488,0.136,Capsule formed,Flower 2 :: Beetle
870,5,Beetle,high_contact,deep_contact,deep contact visit,8.354,0.948,0.954,0.025,0.966,0.278,0.014,0.181,0.859,Capsule formed,Flower 5 :: Beetle
871,45,Ant,mixed,shallow_entry,shallow entry visit,1.69,0.376,0.366,0.397,0.471,0.78,0.272,-0.263,0.422,No capsule,Flower 45 :: Ant
872,48,Small native bee,brief_heavy,brief_visit,brief visit,0.35,0.284,0.146,0.137,0.817,0.475,0.131,-0.11,0.059,No capsule,Flower 48 :: Small native bee
873,90,Hoverfly,mixed,shallow_entry,shallow entry visit,5.096,0.385,0.467,0.146,0.806,0.752,-0.14,-0.033,0.499,No capsule,Flower 90 :: Hoverfly
874,89,Beetle,mixed,shallow_entry,shallow entry visit,5.807,0.445,0.159,0.204,0.728,0.446,0.135,-0.408,0.547,No capsule,Flower 89 :: Beetle
875,11,Hoverfly,brief_heavy,surface_wander,surface wandering visit,6.362,0.0,0.1,0.393,0.475,0.728,-1.008,-0.33,0.135,No capsule,Flower 11 :: Hoverfly
